date,ticker,p945
2026-08-04,TRP.TO,92.0400
2026-08-04,CNQ.TO,64.1800
2026-08-04,SU.TO,89.9900
2026-08-04,CVE.TO,40.3200
2026-08-04,CP.TO,125.4300
2026-08-04,CNR.TO,176.2900
2026-08-04,SHOP.TO,167.8500
2026-08-04,ABX.TO,53.9100
2026-08-04,AEM.TO,214.8200
2026-08-04,NTR.TO,92.2000
2026-08-04,MFC.TO,62.3800
2026-08-04,SLF.TO,115.6500
2026-08-04,BCE.TO,30.4500
2026-08-04,T.TO,13.0900
2026-08-05,AC.TO,26.4300
2026-08-05,RY.TO,297.1500
2026-08-05,TD.TO,170.2500
2026-08-05,BNS.TO,123.8600
2026-08-05,BMO.TO,255.4200
2026-08-05,CM.TO,166.7400
2026-08-05,ENB.TO,74.0800
2026-08-05,TRP.TO,90.9000
2026-08-05,CNQ.TO,64.7600
2026-08-05,SU.TO,90.5100
2026-08-05,CVE.TO,40.2000
2026-08-05,CP.TO,127.5400
2026-08-05,CNR.TO,178.5700
2026-08-05,SHOP.TO,204.7500
2026-08-05,ABX.TO,56.5000
2026-08-05,AEM.TO,225.6000
2026-08-05,NTR.TO,94.3300
2026-08-05,MFC.TO,62.3100
2026-08-05,SLF.TO,115.3000
2026-08-05,BCE.TO,30.7850
2026-08-05,T.TO,13.2800
2026-08-06,AC.TO,26.2400
2026-08-06,RY.TO,297.0000
2026-08-06,TD.TO,170.2200
2026-08-06,BNS.TO,124.3950
2026-08-06,BMO.TO,254.8600
2026-08-06,CM.TO,167.3000
2026-08-06,ENB.TO,72.9450
2026-08-06,TRP.TO,90.1900
2026-08-06,CNQ.TO,63.7500
2026-08-06,SU.TO,86.1000
2026-08-06,CVE.TO,39.2600
2026-08-06,CP.TO,127.2700
2026-08-06,CNR.TO,177.5100
2026-08-06,SHOP.TO,202.5900
2026-08-06,ABX.TO,57.6600
2026-08-06,AEM.TO,231.9800
2026-08-06,NTR.TO,92.2100
2026-08-06,MFC.TO,62.3400
2026-08-06,SLF.TO,115.1300
2026-08-06,BCE.TO,31.4800
2026-08-07,AC.TO,26.3100
2026-08-07,RY.TO,295.3500
2026-08-07,TD.TO,169.2800
2026-08-07,BNS.TO,123.6950
2026-08-07,BMO.TO,253.2900
2026-08-07,CM.TO,166.1300
2026-08-07,ENB.TO,71.5200
2026-08-07,TRP.TO,88.2900
2026-08-07,CNQ.TO,62.6900
2026-08-07,SU.TO,84.1000
2026-08-07,CVE.TO,38.8500
2026-08-07,CP.TO,126.5500
2026-08-07,CNR.TO,176.6000
2026-08-07,SHOP.TO,206.0000
2026-08-07,ABX.TO,61.2000
2026-08-07,AEM.TO,251.4500
2026-08-07,NTR.TO,90.8700
2026-08-07,MFC.TO,62.3400
2026-08-07,SLF.TO,112.3900
2026-08-07,BCE.TO,31.5200
2026-08-07,T.TO,13.7200
2026-08-10,AC.TO,25.7200
2026-08-10,RY.TO,295.4300
2026-08-10,TD.TO,169.3300
2026-08-10,BNS.TO,123.8000
2026-08-10,BMO.TO,253.5400
2026-08-10,CM.TO,165.9100
2026-08-10,ENB.TO,71.7000
2026-08-10,TRP.TO,88.4700
2026-08-10,CNQ.TO,65.3700
2026-08-10,SU.TO,86.6000
2026-08-10,CVE.TO,40.6800
2026-08-10,CP.TO,128.1800
2026-08-10,CNR.TO,177.2700
2026-08-10,SHOP.TO,215.0000
2026-08-10,ABX.TO,55.3900
2026-08-10,AEM.TO,245.6100
2026-08-10,NTR.TO,90.7400
2026-08-10,MFC.TO,62.0300
2026-08-10,SLF.TO,114.9800
2026-08-10,BCE.TO,31.5100
2026-08-10,T.TO,13.3300
2026-08-11,AC.TO,26.5000
2026-08-11,RY.TO,296.2800
2026-08-11,TD.TO,170.3900
2026-08-11,BNS.TO,124.4900
2026-08-11,BMO.TO,255.5600
