kind,cik,date,name,sic,accession,ticker
APPROVAL,1419600,2019-12-26,Flexion Therapeutics Inc,2834,0001193125-19-323480,
APPROVAL,1497504,2020-01-06,PLx Pharma Inc.,2834,0000921895-20-000025,
APPROVAL,1567514,2020-01-06,"Intra-Cellular Therapies, Inc.  (ITCI)",2834,0001193125-20-002249,
APPROVAL,1597264,2020-01-09,Blueprint Medicines Corp  (BPMC),2834,0001558370-20-000102,
APPROVAL,1606645,2020-01-09,Foamix Pharmaceuticals Ltd.,2833,0001104659-20-002722,
APPROVAL,1087294,2020-01-10,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-20-000294,CPIX
APPROVAL,1654151,2020-01-13,"Deciphera Pharmaceuticals, Inc.",2834,0001193125-20-006003,
APPROVAL,1689813,2020-01-13,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001104659-20-003210,
CRL,873303,2020-01-13,"Sarepta Therapeutics, Inc.  (SRPT)",2834,0001564590-20-000941,SRPT
APPROVAL,1606645,2020-01-14,Foamix Pharmaceuticals Ltd.,2833,0001104659-20-003639,
APPROVAL,1337553,2020-01-21,AERIE PHARMACEUTICALS INC,2836,0001193125-20-010537,
APPROVAL,1492426,2020-01-21,Horizon Therapeutics Public Ltd Co,2834,0001193125-20-011156,
APPROVAL,78003,2020-01-28,PFIZER INC  (PFE),2834,0000078003-20-000003,PFE
APPROVAL,310158,2020-02-05,"Merck & Co., Inc.  (MRK)",2834,0001104659-20-010958,MRK
APPROVAL,881524,2020-02-05,VIVUS INC,2834,0001104659-20-011000,
APPROVAL,849636,2020-02-12,RespireRx Pharmaceuticals Inc.  (RSPI),2834,0001493152-20-002017,
APPROVAL,1520262,2020-02-13,Alkermes plc.  (ALKS),2834,0001564590-20-004474,ALKS
APPROVAL,1261249,2020-02-18,"AGILE THERAPEUTICS INC  (AGRX, AGXRW)",2834,0001104659-20-022281,
APPROVAL,1261249,2020-02-20,"AGILE THERAPEUTICS INC  (AGRX, AGXRW)",2834,0001104659-20-023400,
APPROVAL,1571498,2020-02-24,"Epizyme, Inc.",2834,0001193125-20-045439,
APPROVAL,1631650,2020-02-27,"Aimmune Therapeutics, Inc.",2834,0001564590-20-007372,
APPROVAL,1689813,2020-02-28,Biohaven Pharmaceutical Holding Co Ltd.,2834,0001104659-20-027268,
APPROVAL,881524,2020-03-06,VIVUS INC,2834,0001104659-20-030185,
APPROVAL,1566044,2020-03-12,Menlo Therapeutics Inc.  (VYNE),2834,0001104659-20-032148,YARW
APPROVAL,1606645,2020-03-12,Foamix Pharmaceuticals Ltd.,2833,0001178913-20-000788,
APPROVAL,1497504,2020-03-13,PLx Pharma Inc.,2834,0001193805-20-000356,
APPROVAL,1087294,2020-03-18,CUMBERLAND PHARMACEUTICALS INC  (CPIX),2834,0001628280-20-003774,CPIX
APPROVAL,1659617,2020-03-19,"Moleculin Biotech, Inc.  (MBRX)",2834,0001659617-20-000068,MBRX
APPROVAL,794172,2020-04-03,MERIDIAN BIOSCIENCE INC,2835,0001193125-20-097334,
